User Id,Datetime,Amount
357,01-10-2022 00:03,2000
776,01-10-2022 00:03,2500
492,01-10-2022 00:06,5000
803,01-10-2022 00:07,5000
875,01-10-2022 00:09,1500
39,01-10-2022 00:11,4000
539,01-10-2022 00:13,500
560,01-10-2022 00:15,2500
30,01-10-2022 00:16,25000
367,01-10-2022 00:18,1000
831,01-10-2022 00:21,955
618,01-10-2022 00:24,2000
837,01-10-2022 00:25,516
625,01-10-2022 00:28,39000
614,01-10-2022 00:29,1300
539,01-10-2022 00:32,550
557,01-10-2022 00:37,5000
28,01-10-2022 00:40,50000
674,01-10-2022 00:42,5000
526,01-10-2022 00:43,5000
749,01-10-2022 00:43,1500
202,01-10-2022 00:45,4500
235,01-10-2022 00:49,1500
423,01-10-2022 00:49,500
984,01-10-2022 00:50,5000
796,01-10-2022 00:57,1100
395,01-10-2022 00:57,5000
137,01-10-2022 00:58,10000
837,01-10-2022 01:01,500
618,01-10-2022 01:01,2000
450,01-10-2022 01:05,200
914,01-10-2022 01:08,2500
565,01-10-2022 01:09,50
776,01-10-2022 01:11,6000
251,01-10-2022 01:14,800
505,01-10-2022 01:14,4000
220,01-10-2022 01:15,5500
972,01-10-2022 01:17,1000
421,01-10-2022 01:19,10000
539,01-10-2022 01:19,1350
514,01-10-2022 01:19,1000
114,01-10-2022 01:20,10000
909,01-10-2022 01:21,700
881,01-10-2022 01:24,6000
390,01-10-2022 01:25,3300
9,01-10-2022 01:27,1693
972,01-10-2022 01:27,65
352,01-10-2022 01:29,5000
145,01-10-2022 01:30,1000
449,01-10-2022 01:32,10203
9,01-10-2022 01:33,1752
980,01-10-2022 01:34,300
199,01-10-2022 01:37,2000
637,01-10-2022 01:37,3500
628,01-10-2022 01:38,1000
393,01-10-2022 01:41,200
445,01-10-2022 01:41,2000
628,01-10-2022 01:43,1000
367,01-10-2022 01:50,1000
586,01-10-2022 01:52,500
708,01-10-2022 01:53,12000
450,01-10-2022 01:57,1000
424,01-10-2022 02:00,2000
831,01-10-2022 02:01,500
352,01-10-2022 02:01,550
139,01-10-2022 02:03,500
532,01-10-2022 02:08,500
440,01-10-2022 02:10,2000
135,01-10-2022 02:30,1000
514,01-10-2022 02:32,2000
317,01-10-2022 02:36,2000
599,01-10-2022 02:37,4000
508,01-10-2022 02:45,10000
618,01-10-2022 02:52,2000
604,01-10-2022 02:52,2000
557,01-10-2022 03:02,5000
421,01-10-2022 03:03,8000
367,01-10-2022 03:08,1000
515,01-10-2022 03:09,40000
97,01-10-2022 03:19,500
695,01-10-2022 03:19,1000
390,01-10-2022 03:23,200
599,01-10-2022 03:27,10000
850,01-10-2022 03:27,5000
871,01-10-2022 03:29,2900
638,01-10-2022 03:30,200
139,01-10-2022 03:32,500
548,01-10-2022 03:33,100
783,01-10-2022 03:38,1000
181,01-10-2022 03:40,20000
978,01-10-2022 03:41,250
565,01-10-2022 03:42,2000
383,01-10-2022 03:43,500
366,01-10-2022 03:44,1000
654,01-10-2022 03:45,1999
959,01-10-2022 03:48,10000
618,01-10-2022 03:50,2000
860,01-10-2022 03:50,1000
763,01-10-2022 03:52,50
628,01-10-2022 03:53,2000
607,01-10-2022 03:53,300
525,01-10-2022 03:54,200
658,01-10-2022 03:55,1985
614,01-10-2022 03:57,700
720,01-10-2022 03:59,100
431,01-10-2022 04:03,150
390,01-10-2022 04:04,3000
844,01-10-2022 04:05,500
259,01-10-2022 04:05,2500
795,01-10-2022 04:14,1000
777,01-10-2022 04:16,5000
802,01-10-2022 04:17,5000
526,01-10-2022 04:18,5000
673,01-10-2022 04:24,450
285,01-10-2022 04:25,10000
931,01-10-2022 04:26,2000
264,01-10-2022 04:31,500
560,01-10-2022 04:31,4000
114,01-10-2022 04:31,5000
422,01-10-2022 04:33,2750
613,01-10-2022 04:36,200
548,01-10-2022 04:36,100
714,01-10-2022 04:37,1100
607,01-10-2022 04:38,1000
972,01-10-2022 04:38,1060
750,01-10-2022 04:40,2000
557,01-10-2022 04:40,5000
85,01-10-2022 04:43,1500
950,01-10-2022 04:53,10000
168,01-10-2022 04:54,1800
599,01-10-2022 04:58,2000
466,01-10-2022 05:00,550
539,01-10-2022 05:02,400
821,01-10-2022 05:11,4000
931,01-10-2022 05:16,2200
306,01-10-2022 05:19,10000
716,01-10-2022 05:19,500
380,01-10-2022 05:25,2000
335,01-10-2022 05:30,5000
367,01-10-2022 05:30,500
920,01-10-2022 05:32,12000
667,01-10-2022 05:32,2000
400,01-10-2022 05:32,11000
557,01-10-2022 05:33,5000
783,01-10-2022 05:34,130
466,01-10-2022 05:41,5000
744,01-10-2022 05:42,4000
467,01-10-2022 05:48,35000
837,01-10-2022 05:50,100
342,01-10-2022 05:51,1000
424,01-10-2022 05:51,2500
502,01-10-2022 06:00,1650
153,01-10-2022 06:01,1000
599,01-10-2022 06:02,2000
695,01-10-2022 06:04,500
893,01-10-2022 06:05,500
139,01-10-2022 06:05,1000
909,01-10-2022 06:06,1000
49,01-10-2022 06:06,1000
439,01-10-2022 06:09,7500
959,01-10-2022 06:12,8000
934,01-10-2022 06:15,3000
450,01-10-2022 06:25,1000
25,01-10-2022 06:29,2000
912,01-10-2022 06:34,50
980,01-10-2022 06:37,300
900,01-10-2022 06:39,250
379,01-10-2022 06:44,200
862,01-10-2022 06:44,5000
974,01-10-2022 06:48,5000
963,01-10-2022 06:52,550
972,01-10-2022 06:52,250
548,01-10-2022 06:52,200
548,01-10-2022 06:54,200
873,01-10-2022 06:59,1000
633,01-10-2022 07:00,3000
670,01-10-2022 07:11,2000
907,01-10-2022 07:14,250
569,01-10-2022 07:15,45000
421,01-10-2022 07:15,5000
501,01-10-2022 07:17,1000
193,01-10-2022 07:18,3000
366,01-10-2022 07:19,500
370,01-10-2022 07:22,20000
795,01-10-2022 07:23,200
614,01-10-2022 07:29,2000
677,01-10-2022 07:30,6000
972,01-10-2022 07:34,100
12,01-10-2022 07:34,4001
780,01-10-2022 07:36,500
601,01-10-2022 07:37,12500
708,01-10-2022 07:43,4000
390,01-10-2022 07:50,192
844,01-10-2022 07:52,500
153,01-10-2022 07:52,3000
122,01-10-2022 07:53,1000
571,01-10-2022 07:53,250
187,01-10-2022 07:56,2500
632,01-10-2022 07:57,500
915,01-10-2022 08:01,18000
599,01-10-2022 08:05,4000
558,01-10-2022 08:11,1100
239,01-10-2022 08:11,2000
719,01-10-2022 08:18,300
399,01-10-2022 08:22,3000
731,01-10-2022 08:25,4000
947,01-10-2022 08:26,10200
614,01-10-2022 08:26,700
973,01-10-2022 08:27,1300
44,01-10-2022 08:30,200
420,01-10-2022 08:35,500
699,01-10-2022 08:38,8000
885,01-10-2022 08:42,300
871,01-10-2022 08:42,2000
316,01-10-2022 08:45,727
565,01-10-2022 08:46,8000
950,01-10-2022 08:47,20000
182,01-10-2022 08:53,65000
539,01-10-2022 08:54,2750
740,01-10-2022 08:57,20000
181,01-10-2022 08:58,50000
71,01-10-2022 09:00,1000
168,01-10-2022 09:01,2000
247,01-10-2022 09:01,5000
561,01-10-2022 09:03,500
90,01-10-2022 09:05,400
860,01-10-2022 09:07,220
5,01-10-2022 09:07,500
208,01-10-2022 09:11,160000
541,01-10-2022 09:12,38
149,01-10-2022 09:16,4000
133,01-10-2022 09:21,91
390,01-10-2022 09:28,200
978,01-10-2022 09:30,25004
689,01-10-2022 09:30,1000
613,01-10-2022 09:31,1000
978,01-10-2022 09:35,10001
161,01-10-2022 09:36,6000
518,01-10-2022 09:37,100
443,01-10-2022 09:43,1000
807,01-10-2022 09:47,500
193,01-10-2022 09:50,4000
44,01-10-2022 09:50,400
85,01-10-2022 09:52,1500
183,01-10-2022 09:54,20000
255,01-10-2022 09:54,500
218,01-10-2022 09:54,2000
967,01-10-2022 10:01,2500
614,01-10-2022 10:03,600
380,01-10-2022 10:09,2000
987,01-10-2022 10:11,2000
695,01-10-2022 10:12,500
695,01-10-2022 10:13,500
248,01-10-2022 10:14,500
341,01-10-2022 10:15,5000
373,01-10-2022 10:15,10000
294,01-10-2022 10:16,7700
637,01-10-2022 10:17,250
972,01-10-2022 10:17,50
605,01-10-2022 10:24,4000
39,01-10-2022 10:25,2000
667,01-10-2022 10:26,1500
663,01-10-2022 10:29,5000
731,01-10-2022 10:30,4000
125,01-10-2022 10:36,300
660,01-10-2022 10:36,510
70,01-10-2022 10:37,15000
613,01-10-2022 10:39,500
